date,coin,price_in_usd
12/23/2011,BITCOIN,3.937965076
12/24/2011,BITCOIN,3.939419119
12/25/2011,BITCOIN,4.233866878
12/26/2011,BITCOIN,3.999121964
12/27/2011,BITCOIN,4.095518546
12/28/2011,BITCOIN,4.207295876
12/29/2011,BITCOIN,4.173352227
12/30/2011,BITCOIN,4.31063509
12/31/2011,BITCOIN,4.714306331
1/1/2012,BITCOIN,5.294842777
1/2/2012,BITCOIN,5.204877892
1/3/2012,BITCOIN,4.870508829
1/4/2012,BITCOIN,5.585706267
1/5/2012,BITCOIN,6.874000877
1/6/2012,BITCOIN,6.68331664
1/7/2012,BITCOIN,6.796227981
1/8/2012,BITCOIN,7.096650566
1/9/2012,BITCOIN,6.288538342
1/10/2012,BITCOIN,6.528474555
1/11/2012,BITCOIN,6.889127721
1/12/2012,BITCOIN,6.773564196
1/13/2012,BITCOIN,6.45436889
1/14/2012,BITCOIN,6.761727143
1/15/2012,BITCOIN,7.046922558
1/16/2012,BITCOIN,6.715607667
1/17/2012,BITCOIN,5.59962195
1/18/2012,BITCOIN,5.900231288
1/19/2012,BITCOIN,6.315706342
1/20/2012,BITCOIN,6.501491988
1/21/2012,BITCOIN,6.180568326
1/22/2012,BITCOIN,6.302967227
1/23/2012,BITCOIN,6.374876077
1/24/2012,BITCOIN,6.274476476
1/25/2012,BITCOIN,5.810465072
1/26/2012,BITCOIN,5.367226954
1/27/2012,BITCOIN,5.303137197
1/28/2012,BITCOIN,5.659796775
1/29/2012,BITCOIN,5.391429457
1/30/2012,BITCOIN,5.503481939
1/31/2012,BITCOIN,5.538220296
2/1/2012,BITCOIN,6.075232652
2/2/2012,BITCOIN,6.099572913
2/3/2012,BITCOIN,5.951610928
2/4/2012,BITCOIN,5.895413239
2/5/2012,BITCOIN,5.678115717
2/6/2012,BITCOIN,5.482664058
2/7/2012,BITCOIN,5.6620277
2/8/2012,BITCOIN,5.61852819
2/9/2012,BITCOIN,5.835699854
2/10/2012,BITCOIN,5.937834155
2/11/2012,BITCOIN,5.612132853
